# format: name,nerdfont,unicode

# filesystem
file,U+f15b,📄
folder,U+f07b,📁

# actions
edit,U+f044,✏️
save,U+f0c7,💾
refresh,U+f021,🔄
cut,U+f0c4,✂️
copy,U+f0c5,📋
paste,U+f0ea,📋
abort,U+f52f,🛑
undo,U+f0e2,↩️

# file types
archive,U+f1c6,📦
audio,U+f001,🎵
broken link,U+f033a,❌
deb,U+e77d,📦
executable,U+f013,⚙️
image,U+f1c5,🌅
link,U+f0c1,🔗
model,U+eb01,🌐
package,U+f03d7,📦
pdf,U+f1c1,📚
shell_script,U+f1183,#!
text,U+f15c,📝
video,U+f0fce,🎬

# languages
c,U+e649,🇨
cpp,U+e649,🇨
csharp,U+e648,💻
css,U+e6b8,📝
go,U+e627,🐹
html,U+e60e,📝
java,U+e738,☕
javascript,U+e781,📝
markdown,U+e609,📝
php,U+e608,🐘
python,U+e73c,🐍
ruby,U+e739,💎
rust,U+e7a8,🦀
swift,U+e699,🦅
typescript,U+e8ca,📝

# symbols
cloud,U+f0c2,☁️
gear,U+f013,⚙️
heart,U+f004,❤️
rocket,U+f135,🚀
search,U+f002,🔍
star,U+f005,⭐
trash,U+f1f8,🗑️
xmark,U+f00d,❌
house,U+f015,🏠
computer,U+f108,💻
download,U+f019,⬇️
open_folder,U+f07c,📂
disc,U+ede9,💿
bookmark,U+f02e,🔖
remote,U+f08b9,🖧
plus,U+f067,➕

# job status
circle_empty,U+f10c,○
circle_quarter,◔,◔
circle_half,U+f042,◑
circle_three_quarter,◕,◕
circle_full,U+f111,●
minus,U+f068,➖
info,U+ea74,🛈 
checkbox,U+f0131,🞎 
checkbox_checked,U+f0132,⛝ 
radio,U+f0130,🞅 
radio_checked,U+f043e,⦿ 
